Wall time,Step,Value
1748730754.5539644,0,-42297.140625
1748730902.5531921,1,-17997.44140625
1748731062.9413617,2,-13268.9326171875
1748731240.9973016,3,-49044.80078125
1748731390.8506956,4,-40507.85546875
1748731580.7904787,5,-47665.46484375
1748731751.0791,6,-59571.359375
1748731863.725902,7,-56334.38671875
1748731976.7615426,8,-56756.64453125
1748732108.233216,9,-43986.0625
1748732238.962617,10,-66409.53125
1748732368.3414016,11,-66078.234375
1748732490.8251693,12,-60009.35546875
1748732623.431366,13,-59850.2265625
1748732746.9472983,14,-59578.4765625
1748732866.5246875,15,-60085.32421875
1748732981.8503914,16,-61926.82421875
1748733138.5545018,17,-71979.4609375
1748733242.7585254,18,-55783.1875
1748733360.2286065,19,-55608.76171875
1748733493.0912404,20,-64227.4609375
1748733649.6026464,21,-54857.28515625
1748733840.973298,22,-64307.265625
1748734008.6910882,23,-84449.4375
1748734130.3320112,24,-43008.5078125
1748734292.5663743,25,-48488.49609375
1748734486.6673799,26,-48692.42578125
1748734689.6455522,27,-61657.39453125
1748734840.0089178,28,-51933.61328125
1748734985.211079,29,-51216.66796875
1748735204.5463698,30,-62153.703125
1748735400.0720565,31,-52419.1640625
1748735595.1964617,32,-59350.015625
1748735719.813412,33,-57287.24609375
1748735874.0193892,34,-113536.859375
1748736064.2478504,35,-56460.80078125
1748736224.874529,36,-75264.203125
1748736415.3277998,37,-63940.58203125
1748736611.6537118,38,-61756.109375
1748736807.5497305,39,-42352.6484375
1748736939.1814582,40,-52887.0546875
1748737063.109666,41,-74860.375
1748737183.9977057,42,-59583.48046875
1748737313.989839,43,-59775.3984375
1748737455.2011533,44,-69086.3046875
1748737575.5967126,45,-54320.50390625
1748737702.2937288,46,-77191.5703125
1748737832.411677,47,-54292.46875
1748738032.8100135,48,-62350.45703125
1748738166.9859548,49,-61307.78125
1748738295.3320253,50,-53862.1328125
1748738414.5880976,51,-47872.50390625
1748738549.9780345,52,-61862.20703125
1748738748.7841804,53,-55049.57421875
1748738956.1186235,54,-60663.9375
1748739101.7196844,55,-56150.9375
1748739267.2563,56,-72128.4453125
1748739451.8463929,57,-89423.46875
1748739630.5187922,58,-56172.02734375
