Wall time,Step,Value
1748730967.0785718,0,0.5230489373207092
1748731221.9600282,1,0.3940974473953247
1748731376.2778597,2,0.27783358097076416
1748731536.0008018,3,0.2172236442565918
1748731700.652337,4,0.1969788372516632
1748731890.2711997,5,0.19144435226917267
1748732062.0795674,6,0.1914692521095276
1748732219.448293,7,0.19263675808906555
1748732388.2955806,8,0.19848211109638214
1748732539.2204635,9,0.20750471949577332
1748732706.996256,10,0.21465344727039337
1748732890.1201255,11,0.21610252559185028
1748733062.83802,12,0.2099321335554123
1748733228.3243244,13,0.20454350113868713
1748733407.8700042,14,0.20484285056591034
1748733581.6001222,15,0.20745494961738586
1748733773.9327004,16,0.2125646322965622
1748733960.0537233,17,0.21868841350078583
1748734141.1904795,18,0.2238151580095291
1748734295.7205431,19,0.22517924010753632
1748734479.407475,20,0.23058338463306427
1748734672.5650895,21,0.23347806930541992
1748734880.5263605,22,0.23357883095741272
1748735183.871084,23,0.23452773690223694
1748735495.4492664,24,0.23404550552368164
1748735820.6737423,25,0.23289303481578827
1748736061.5262072,26,0.2336423099040985
1748736225.1830978,27,0.23779961466789246
1748736404.2593198,28,0.23524689674377441
1748736567.5303388,29,0.22367680072784424
1748736740.2687929,30,0.2205192595720291
1748736904.2205448,31,0.22980280220508575
1748737065.761686,32,0.2447054386138916
1748737250.0411658,33,0.25875186920166016
1748737422.6236768,34,0.2666166424751282
1748737579.29175,35,0.2672193944454193
1748737735.4331734,36,0.26621299982070923
1748737907.253088,37,0.26534539461135864
1748738075.8311284,38,0.261160284280777
1748738240.795533,39,0.25343143939971924
1748738422.111398,40,0.2395205795764923
1748738591.8369129,41,0.2386178970336914
1748738768.6469026,42,0.2500033974647522
1748738950.2379808,43,0.2698037326335907
1748739128.5673466,44,0.28241294622421265
1748739294.8026512,45,0.28574079275131226
1748739470.5588675,46,0.2755543291568756
1748739634.4656925,47,0.26290351152420044
1748739810.6335728,48,0.26227158308029175
1748739992.5578356,49,0.2662556767463684
1748740158.0615616,50,0.2686719298362732
1748740333.3393323,51,0.27372387051582336
1748740518.2649407,52,0.28016576170921326
1748740694.8826032,53,0.281006395816803
1748740867.878299,54,0.27636390924453735
1748741055.5377066,55,0.27043357491493225
1748741221.9154546,56,0.2709205746650696
1748741395.500778,57,0.27817749977111816
