Wall time,Step,Value
1748270011.548988,0,-0.49996405839920044
1748270331.194489,1,0.1594802290201187
1748270610.8523765,2,-0.020622793585062027
1748270841.259074,3,-0.07756959646940231
1748271074.978122,4,0.03401225432753563
1748271375.9226503,5,-0.10429612547159195
1748271600.8872476,6,-0.1739204376935959
1748271822.6799176,7,-0.1488264501094818
1748272044.996536,8,-0.11413489282131195
1748272308.2537694,9,-0.12114828079938889
1748272581.7873802,10,-0.07508818060159683
1748272858.59685,11,-0.060856714844703674
1748273101.2859998,12,-0.1496344357728958
1748273352.0447943,13,-0.19916272163391113
1748273573.536966,14,-0.11795741319656372
1748273851.5508819,15,-0.08779517561197281
1748274110.834879,16,-0.10157431662082672
1748274349.936926,17,-0.08991870284080505
1748274604.2678792,18,-0.19246076047420502
1748274894.329173,19,-0.0571417436003685
1748275180.9079506,20,-0.12311326712369919
1748275434.701806,21,-0.0004875247541349381
1748275677.9171264,22,-0.14918260276317596
1748275915.867034,23,0.006705787498503923
1748276161.3766172,24,0.24725742638111115
1748276405.6316981,25,0.09405288845300674
1748276654.7651687,26,-0.14037615060806274
1748276907.9698715,27,-0.18891695141792297
1748277126.8253405,28,-0.2318131923675537
1748277376.2358212,29,-0.06944606453180313
1748277630.6355975,30,-0.12478528916835785
1748277875.7536242,31,-0.0789671242237091
1748278116.9232478,32,-0.08477584272623062
1748278341.4438343,33,-0.09579996019601822
1748278562.4973333,34,-0.11387143284082413
1748278799.74951,35,-0.12268225848674774
1748279022.2772965,36,-0.1035642996430397
1748279252.6168451,37,-0.17410564422607422
1748279497.1623828,38,-0.22458289563655853
1748279707.4979815,39,-0.2247501164674759
1748279918.2487147,40,-0.21852129697799683
1748280117.380499,41,-0.20828498899936676
1748280383.6691253,42,-0.22188307344913483
1748280596.6919396,43,-0.23722296953201294
1748280818.8352678,44,-0.2528928816318512
1748281047.4486415,45,-0.22202175855636597
1748281274.0788379,46,-0.2007829248905182
1748281493.7590961,47,-0.1747003048658371
1748281698.5979028,48,-0.041365236043930054
1748281944.6789541,49,0.04285576567053795
1748282180.1615963,50,0.008000743575394154
1748282458.627595,51,-0.07208351045846939
1748282721.0199757,52,-0.020966466516256332
1748282971.177991,53,-0.05001569539308548
1748283221.6361537,54,-0.0101535739377141
1748283466.5034814,55,-0.06599867343902588
1748283709.6676795,56,-0.03145300969481468
1748283976.1049912,57,-0.058603961020708084
1748284183.2893856,58,-0.10635890811681747
1748284424.1383626,59,-0.0578366182744503
1748284662.4195974,60,-0.2721557915210724
1748284923.8576035,61,-0.2736555337905884
1748285184.9782894,62,-0.274472177028656
1748285448.805512,63,-0.2572752833366394
1748285674.4794877,64,-0.26810505986213684
1748285932.7603722,65,-0.2744452655315399
1748286233.8682911,66,-0.28671422600746155
1748286505.0821333,67,-0.27799496054649353
1748286812.034525,68,-0.28218770027160645
1748287093.7232497,69,-0.27271419763565063
1748287343.1645188,70,-0.2885476052761078
1748287628.526484,71,-0.2741905152797699
1748287916.309442,72,-0.2647559940814972
1748288147.2242458,73,-0.2767210304737091
1748288438.9779005,74,-0.2875474989414215
1748288718.6919012,75,-0.27348217368125916
1748288958.9148548,76,-0.268408864736557
1748289176.6705105,77,-0.25494951009750366
1748289443.6718397,78,-0.28977882862091064
1748289720.8292284,79,-0.2693382203578949
1748289914.0536468,80,-0.27530428767204285
1748290114.6329172,81,-0.2744603455066681
1748290312.5180473,82,-0.2707150876522064
1748290509.5306559,83,-0.2836707830429077
1748290720.0851233,84,-0.2694658935070038
1748290928.0019681,85,-0.278836190700531
1748291128.823382,86,-0.2685510516166687
1748291344.2999403,87,-0.2732601463794708
1748291544.5763054,88,-0.28320765495300293
1748291765.9387393,89,-0.27038633823394775
1748291960.1576688,90,-0.2641369104385376
1748292200.3169644,91,-0.2490547150373459
1748292400.0942566,92,-0.2630695700645447
1748292651.1004522,93,-0.26215416193008423
1748292843.316958,94,-0.2514689564704895
1748293049.7346618,95,-0.2706044018268585
1748293257.7930017,96,-0.2674013078212738
1748293477.5173588,97,-0.2815034091472626
1748293680.5444682,98,-0.27330607175827026
1748293892.1836977,99,-0.2636488378047943
1748294099.140137,100,-0.2603982985019684
1748294301.8156955,101,-0.26295170187950134
1748294503.684897,102,-0.2763693630695343
1748294697.0692153,103,-0.18494319915771484
1748294889.7230082,104,-0.2026052176952362
1748295095.4876661,105,-0.19175556302070618
1748295297.9864857,106,-0.19721147418022156
1748295479.4048665,107,-0.234017014503479
1748295681.2956367,108,-0.15819917619228363
1748295866.7703812,109,-0.20928238332271576
1748296086.0594397,110,-0.0740932896733284
1748296285.7114785,111,-0.12470913678407669
1748296478.6716151,112,-0.09152236580848694
1748296683.8970816,113,-0.1266791820526123
1748296910.5255122,114,-0.12195947766304016
1748297211.5627255,115,-0.13197016716003418
1748297456.5751812,116,-0.04628456011414528
1748297756.9653432,117,-0.0928865373134613
1748298053.0995052,118,-0.0770949199795723
1748298356.6701016,119,-0.018558695912361145
1748298665.1964784,120,-0.12403827905654907
1748298930.865721,121,-0.1181897297501564
1748299250.8440783,122,-0.07202065736055374
1748299556.3064146,123,-0.08455140888690948
1748299850.8515441,124,-0.09333109110593796
1748300116.825565,125,-0.035114794969558716
1748300410.6436424,126,-0.07204855978488922
1748300693.9192655,127,-0.09146204590797424
1748300969.9936016,128,-0.0492924302816391
1748301311.0876906,129,-0.07005523890256882
1748301643.3734035,130,-0.047184545546770096
1748301965.587608,131,-0.11400578916072845
1748302235.6916828,132,-0.06679011136293411
