Wall time,Step,Value
1748270010.7651439,0,-0.9091096520423889
1748270330.163358,1,-0.008489759638905525
1748270610.0557237,2,-0.012176703661680222
1748270840.2839305,3,-0.7681449055671692
1748271074.1727092,4,-0.7016886472702026
1748271375.0925307,5,-0.6645947098731995
1748271599.8392,6,-0.6215721368789673
1748271821.6534739,7,-0.6655621528625488
1748272044.1804254,8,-0.3720916509628296
1748272307.2415938,9,-0.005059590097516775
1748272580.8231022,10,-0.15968529880046844
1748272857.6286418,11,0.08079477399587631
1748273100.137017,12,-0.1538550853729248
1748273351.1135104,13,-0.11392546445131302
1748273572.577606,14,-0.08979522436857224
1748273850.592285,15,-0.04652290418744087
1748274109.9846103,16,-0.019771359860897064
1748274348.982953,17,-0.04740791767835617
1748274603.403724,18,-0.12738467752933502
1748274893.3579118,19,0.018436798825860023
1748275180.0889764,20,-0.1461212933063507
1748275433.7341797,21,-0.10758662223815918
1748275677.1546216,22,-0.247615247964859
1748275914.9018962,23,-0.1319991648197174
1748276160.4065797,24,-0.16119900345802307
1748276404.825527,25,-0.21304747462272644
1748276653.9288104,26,-0.2233479917049408
1748276906.9788716,27,-0.21518833935260773
1748277125.8757486,28,-0.2379882037639618
1748277375.042518,29,-0.16689454019069672
1748277629.8269675,30,0.014903872273862362
1748277874.7914221,31,-0.04903794080018997
1748278116.1146467,32,-0.16497334837913513
1748278340.236182,33,-0.1612762063741684
1748278561.5281608,34,-0.20729029178619385
1748278799.0057967,35,-0.10952877253293991
1748279021.5274909,36,-0.21464645862579346
1748279251.831544,37,0.08190608024597168
1748279496.2759967,38,-0.04571516439318657
1748279706.5246272,39,-0.10780063271522522
1748279917.4584067,40,-0.03881755843758583
1748280116.4371178,41,-0.08878976851701736
1748280382.903866,42,-0.17671647667884827
1748280595.9448225,43,-0.08635326474905014
1748280818.0773401,44,-0.13005144894123077
1748281046.7022479,45,-0.13556469976902008
1748281273.3223207,46,-0.07219696044921875
1748281492.8165448,47,-0.1351301372051239
1748281697.7990298,48,-0.12340959906578064
1748281943.832373,49,-0.21864567697048187
1748282179.3622918,50,-0.01609725132584572
1748282457.7842438,51,-0.030952230095863342
1748282720.0452807,52,-0.15054775774478912
1748282970.2205615,53,0.03751114010810852
1748283220.8363943,54,-0.25807130336761475
1748283465.5059862,55,-0.07727204263210297
1748283708.909464,56,-0.0024368236772716045
1748283975.0490267,57,-0.07695440202951431
1748284182.3040998,58,-0.03948232904076576
1748284423.3828037,59,0.00037836955743841827
1748284661.4594436,60,-0.09446199238300323
1748284923.0984306,61,-0.025790276005864143
1748285184.0104954,62,-0.09363943338394165
1748285447.8472857,63,-0.076552614569664
1748285673.7027621,64,-0.04717010632157326
1748285931.7635832,65,0.07319845259189606
1748286232.8946385,66,-0.22958169877529144
1748286504.289459,67,-0.19676721096038818
1748286810.8734033,68,-0.2061968445777893
1748287092.792831,69,-0.26053428649902344
1748287342.4285922,70,-0.19237615168094635
1748287627.5013692,71,-0.2277970314025879
1748287915.58005,72,-0.21736682951450348
1748288146.4515944,73,-0.24788330495357513
1748288438.0111742,74,-0.24335983395576477
1748288717.8707652,75,-0.21879489719867706
1748288957.9780192,76,-0.247628852725029
1748289175.8895218,77,-0.23287340998649597
1748289442.9154449,78,-0.23956166207790375
1748289719.8089182,79,-0.2855609953403473
1748289913.1055126,80,-0.19872881472110748
1748290113.8814259,81,-0.15315787494182587
1748290311.4858205,82,-0.11237102746963501
1748290508.574493,83,-0.12903979420661926
1748290719.355107,84,-0.22851231694221497
1748290927.1544702,85,-0.1913779377937317
1748291127.8986862,86,-0.20442411303520203
1748291343.533233,87,-0.21378277242183685
1748291543.648862,88,-0.23215079307556152
1748291765.1616116,89,-0.157774418592453
1748291959.1855757,90,-0.2169727385044098
1748292199.5586042,91,-0.2238132655620575
1748292399.314381,92,-0.2259591966867447
1748292650.1665924,93,-0.21004444360733032
1748292842.548331,94,-0.18190382421016693
1748293048.7362125,95,-0.17819026112556458
1748293257.0245082,96,-0.1971094161272049
1748293476.7683709,97,-0.17513372004032135
1748293679.6285238,98,-0.19284547865390778
1748293891.4265296,99,-0.0917280837893486
1748294098.1823866,100,-0.1493874043226242
1748294301.044451,101,-0.1373593807220459
1748294502.9428763,102,-0.05628310516476631
1748294696.1551673,103,-0.015478748828172684
1748294888.9420009,104,-0.053214650601148605
1748295094.4707534,105,-0.02325453609228134
1748295297.24594,106,-0.04208424687385559
1748295478.3970387,107,0.0824253261089325
1748295680.3687227,108,-0.0360896959900856
1748295865.8022583,109,0.1593390703201294
1748296085.1068397,110,0.051838409155607224
1748296284.9334972,111,-0.07848653197288513
1748296477.8995056,112,-0.02100205048918724
1748296682.9582236,113,0.09082798659801483
1748296909.5640469,114,0.049436137080192566
1748297210.3945134,115,0.018130043521523476
1748297455.5542166,116,-0.04590638726949692
1748297756.2017338,117,0.007634841836988926
1748298052.1274626,118,-0.03714289143681526
1748298355.6873896,119,0.07998941093683243
1748298664.2490542,120,-0.06493727117776871
1748298929.9000525,121,-0.12069110572338104
1748299250.0722206,122,0.029569659382104874
1748299555.2722027,123,-0.12253975123167038
1748299849.931884,124,0.023326914757490158
1748300115.8924186,125,0.026682768017053604
1748300409.6240735,126,-0.06813197582960129
1748300693.057016,127,-0.04138757288455963
1748300969.029516,128,0.01608029007911682
1748301310.1606748,129,-0.09311550855636597
1748301642.5562818,130,0.00829312950372696
1748301964.8248816,131,-0.038351502269506454
1748302234.751243,132,-0.06011253967881203
1748302514.6997166,133,0.0717102661728859
1748302795.6894433,134,-0.012105262838304043
1748303123.2705262,135,-0.11221838742494583
1748303401.1060474,136,-0.053212717175483704
1748303670.508947,137,-0.06674500554800034
1748303951.2130058,138,0.05635561794042587
1748304210.6651816,139,-0.004888075403869152
1748304489.6404252,140,0.043086692690849304
