Wall time,Step,Value
1748357424.6215634,0,-0.1445845663547516
1748357583.6256373,1,-0.019790610298514366
1748357750.574289,2,-0.19479359686374664
1748357921.5699942,3,-0.14618892967700958
1748358087.5056267,4,-0.27850356698036194
1748358254.8637617,5,-0.25061437487602234
1748358421.4702733,6,0.05561480671167374
1748358597.0184188,7,-0.11753711849451065
1748358766.9494827,8,-0.09837212413549423
1748358943.877056,9,-0.207329660654068
1748359141.4956949,10,-0.18448516726493835
1748359326.181259,11,0.0021952823735773563
1748359514.1436825,12,-0.09654021263122559
1748359710.6694202,13,-0.03566249459981918
1748359909.5901518,14,-0.07142996788024902
1748360108.6964722,15,-0.11021044105291367
1748360323.6954246,16,-0.05796340852975845
1748360537.7187793,17,-0.10199941694736481
1748360748.0223713,18,-0.09967764467000961
1748360955.4440427,19,-0.1553252786397934
1748361173.514695,20,-0.010457049123942852
1748361387.4241946,21,-0.08744122087955475
1748361607.632739,22,0.02153724804520607
1748361842.598482,23,-0.014607289806008339
1748362070.1454945,24,-0.044550634920597076
1748362299.7727044,25,-0.07218800485134125
1748362522.91285,26,-0.07046176493167877
1748362738.4252536,27,-0.10257216542959213
1748362968.5178196,28,-0.08552923053503036
1748363207.387473,29,-0.016488144174218178
1748363438.5222762,30,0.040208131074905396
1748363679.4040117,31,0.010558536276221275
1748363924.1624017,32,0.0965244323015213
1748364188.8166153,33,0.09965969622135162
1748364441.1368225,34,-0.02768978849053383
1748364698.6606457,35,0.011414100416004658
1748364952.7892187,36,0.02851337008178234
1748365215.2018926,37,0.16493797302246094
1748365480.4062448,38,0.2035190761089325
1748365742.1865978,39,0.07824041694402695
1748366001.563533,40,0.013259008526802063
1748366276.7172832,41,0.13143302500247955
1748366536.8680592,42,0.09237872064113617
1748366801.0715203,43,0.16531868278980255
1748367075.684004,44,0.055642563849687576
1748367340.949396,45,0.1109759584069252
1748367615.0793033,46,0.14422892034053802
1748367893.1522324,47,0.17315086722373962
1748368172.9256356,48,0.19581054151058197
1748368437.1835217,49,0.10617648810148239
1748368700.5540242,50,0.1250426322221756
1748368966.9467552,51,0.1546103060245514
1748369239.8452759,52,0.21484751999378204
1748369527.1402378,53,0.16743133962154388
1748369802.8638053,54,0.17167755961418152
1748370067.7049713,55,0.10727211087942123
1748370336.0913231,56,0.05247350037097931
1748370603.605809,57,0.11676426231861115
1748370878.1588094,58,0.14972414076328278
1748371148.5257516,59,0.2140880823135376
1748371423.1824582,60,0.15715967118740082
1748371700.8450372,61,0.02840050868690014
1748371971.932093,62,-0.044144339859485626
1748372240.3188565,63,0.11956705152988434
1748372507.541624,64,0.07519271969795227
1748372794.9551222,65,-0.06789254397153854
1748373061.9681945,66,-0.005469109397381544
1748373338.7121909,67,-0.12168798595666885
1748373614.4989595,68,-0.14172205328941345
1748373889.7594626,69,-0.06381378322839737
1748374162.8330684,70,-0.08193950355052948
1748374436.0245848,71,-0.03864569962024689
1748374710.9279463,72,-0.08021353930234909
1748374981.8872857,73,-0.08907456696033478
1748375254.5946636,74,-0.07826995849609375
1748375529.3537772,75,0.01943705789744854
1748375817.2082777,76,-0.0941765084862709
1748376096.1049602,77,-0.023319203406572342
1748376375.8289728,78,0.004943318199366331
1748376653.702768,79,-0.11067691445350647
1748376931.52469,80,0.0818377286195755
1748377208.6650193,81,0.022847751155495644
1748377498.8822026,82,0.04656336084008217
1748377790.7431712,83,0.13820959627628326
1748378067.0971816,84,-0.03869560733437538
1748378346.088566,85,-0.08340394496917725
1748378636.7162352,86,0.11274588853120804
1748378917.7014496,87,-0.061249177902936935
1748379203.6738617,88,-0.04207124561071396
1748379485.4144366,89,-0.12981772422790527
1748379767.3532603,90,-0.14126989245414734
1748380049.3628702,91,-0.10811371356248856
1748380332.5975187,92,-0.09003843367099762
1748380614.0577016,93,-0.1918780356645584
1748380888.519531,94,-0.1573040783405304
1748381158.2775476,95,-0.11809961497783661
1748381419.33008,96,-0.0624345988035202
1748381685.5886357,97,-0.08386478573083878
1748381953.3240407,98,-0.22304943203926086
1748382225.6644557,99,-0.13713568449020386
1748382496.4131763,100,-0.1857985258102417
1748382772.6512911,101,-0.18081337213516235
1748383045.3564599,102,-0.21156756579875946
1748383308.92272,103,-0.18097788095474243
1748383583.4800527,104,-0.1433919370174408
1748383850.3498704,105,-0.1718774139881134
1748384136.699409,106,-0.1475270837545395
1748384397.5808263,107,-0.13607294857501984
1748384654.566079,108,-0.08638140559196472
1748384909.6317668,109,-0.06932494044303894
1748385176.709699,110,-0.1512252539396286
1748385448.7133937,111,-0.1270132213830948
1748385725.0860136,112,-0.1842297911643982
1748385994.4582765,113,-0.1427745670080185
1748386266.7743433,114,-0.040219370275735855
1748386523.9975357,115,-0.07266555726528168
1748386781.253906,116,-0.12761731445789337
1748387033.9543803,117,-0.1296137124300003
1748387302.4146996,118,-0.13409113883972168
1748387566.5088434,119,-0.12678870558738708
1748387827.6326246,120,-0.0951317623257637
1748388087.860395,121,-0.13209713995456696
1748388369.503572,122,-0.17162638902664185
1748388616.8249958,123,-0.17912624776363373
1748388877.0019312,124,-0.1963605284690857
1748389133.555286,125,-0.12735281884670258
1748389396.5284593,126,-0.1358366459608078
1748389665.102869,127,-0.15498603880405426
1748389930.0699224,128,-0.19417260587215424
1748390190.3406947,129,-0.10097998380661011
1748390456.2533739,130,-0.19318372011184692
1748390715.9304564,131,-0.14194725453853607
1748390974.723869,132,-0.14275339245796204
1748391237.0880766,133,-0.13846972584724426
1748391505.662165,134,-0.13580521941184998
1748391764.0034087,135,-0.131941556930542
1748392044.3303292,136,-0.1620684117078781
1748392321.1265433,137,-0.18930688500404358
1748392581.7420506,138,0.028977571055293083
1748392854.7125785,139,-0.1250588297843933
1748393119.3412235,140,-0.13046617805957794
1748393383.657619,141,-0.1509205400943756
1748393648.3788893,142,-0.1415545642375946
1748393932.7975652,143,-0.14989373087882996
1748394206.5061898,144,-0.13402119278907776
1748394474.5465157,145,-0.0628466084599495
1748394740.2289987,146,-0.12370423227548599
1748394999.7346117,147,-0.14199745655059814
1748395264.7407923,148,-0.07596634328365326
1748395529.4219558,149,-0.0716799944639206
1748395777.9659579,150,-0.1568915992975235
1748396034.3474653,151,-0.13693176209926605
1748396297.962128,152,-0.06000792980194092
1748396557.6236436,153,-0.08603617548942566
1748396825.66658,154,-0.05060941353440285
1748397083.6777518,155,-0.040723033249378204
1748397347.6123846,156,-0.14310425519943237
1748397607.7859943,157,0.014472777023911476
1748397867.9276648,158,-0.14433825016021729
1748398120.1488569,159,-0.07393348962068558
1748398381.4643111,160,-0.13081516325473785
1748398641.0431294,161,-0.11840088665485382
1748398894.8188322,162,-0.14571519196033478
1748399155.6327374,163,-0.07531816512346268
1748399408.7050855,164,-0.0047866408713161945
1748399666.2426925,165,-0.02600507251918316
1748399925.4614556,166,-0.08027675747871399
1748400181.3194618,167,-0.1619296818971634
1748400454.2942286,168,-0.032325759530067444
